fir_number,account_id,bank,number_masked,holder_person_id,is_synthetic
FIR-2025-SHI-0002,AC0030,Union,XX6881,P0293,True
FIR-2025-SHI-0002,AC0024,HDFC,XX5901,P0293,True
FIR-2024-MAN-0004,AC0055,Canara,XX7511,P0087,True
FIR-2024-VIJ-0005,AC0022,Union,XX3588,P0009,True
FIR-2025-BAL-0008,AC0044,Canara,XX2476,P0059,True
FIR-2025-BAL-0008,AC0007,SBI,XX1753,P0059,True
FIR-2025-BAG-0009,AC0051,HDFC,XX8894,P0120,True
FIR-2025-KAL-0011,AC0056,Union,XX6992,P0012,True
FIR-2025-KAL-0011,AC0059,Union,XX3024,P0012,True
FIR-2025-BEL-0016,AC0014,Canara,XX3868,P0078,True
FIR-2024-BAG-0018,AC0006,Canara,XX5906,P0055,True
FIR-2024-BAG-0018,AC0028,Axis,XX2747,P0055,True
FIR-2025-SHI-0022,AC0030,Union,XX6881,P0068,True
FIR-2025-SHI-0022,AC0038,Canara,XX4115,P0068,True
FIR-2025-KOL-0028,AC0055,Canara,XX7511,P0024,True
FIR-2025-KOL-0028,AC0051,HDFC,XX8894,P0024,True
FIR-2024-UDU-0034,AC0059,Union,XX3024,P0029,True
FIR-2024-UDU-0034,AC0054,SBI,XX3306,P0029,True
FIR-2025-KAL-0035,AC0050,HDFC,XX3695,P0272,True
FIR-2025-TUM-0042,AC0029,Canara,XX7248,P0088,True
FIR-2025-TUM-0042,AC0039,Union,XX5106,P0088,True
FIR-2024-BAG-0043,AC0033,Axis,XX5497,P0254,True
FIR-2024-BAG-0043,AC0052,HDFC,XX6549,P0254,True
FIR-2025-MAN-0045,AC0034,SBI,XX1803,P0080,True
FIR-2025-MAN-0045,AC0025,Axis,XX5097,P0080,True
FIR-2024-BAG-0047,AC0051,HDFC,XX8894,P0150,True
FIR-2025-VIJ-0048,AC0046,Axis,XX3877,P0004,True
FIR-2025-VIJ-0048,AC0047,Canara,XX3165,P0004,True
FIR-2025-DHA-0049,AC0028,Axis,XX2747,P0017,True
FIR-2024-BAG-0053,AC0026,Axis,XX5949,P0057,True
FIR-2024-BAG-0053,AC0009,HDFC,XX6873,P0057,True
FIR-2024-BEL-0054,AC0060,Axis,XX7038,P0013,True
FIR-2024-BEL-0054,AC0037,Union,XX6772,P0013,True
FIR-2025-SHI-0055,AC0004,Axis,XX2612,P0067,True
FIR-2024-RAI-0057,AC0051,HDFC,XX8894,P0010,True
FIR-2024-RAI-0057,AC0022,Union,XX3588,P0010,True
FIR-2025-UDU-0059,AC0027,Canara,XX7302,P0171,True
FIR-2025-DAV-0064,AC0046,Axis,XX3877,P0267,True
FIR-2025-DAV-0064,AC0006,Canara,XX5906,P0267,True
FIR-2025-DAV-0065,AC0004,Axis,XX2612,P0286,True
FIR-2025-VIJ-0067,AC0027,Canara,XX7302,P0273,True
FIR-2025-HAS-0070,AC0020,HDFC,XX1153,P0024,True
FIR-2025-HAS-0070,AC0038,Canara,XX4115,P0024,True
FIR-2024-BAG-0072,AC0034,SBI,XX1803,P0196,True
FIR-2025-MAN-0073,AC0008,HDFC,XX1919,P0008,True
FIR-2025-MAN-0073,AC0044,Canara,XX2476,P0008,True
FIR-2024-BEN-0075,AC0003,Canara,XX2480,P0055,True
FIR-2024-BEN-0075,AC0019,HDFC,XX8529,P0055,True
FIR-2024-KAL-0076,AC0008,HDFC,XX1919,P0058,True
FIR-2024-KAL-0076,AC0012,Union,XX7751,P0058,True
FIR-2025-BAG-0083,AC0014,Canara,XX3868,P0007,True
FIR-2025-BAG-0083,AC0056,Union,XX6992,P0007,True
FIR-2024-VIJ-0084,AC0059,Union,XX3024,P0191,True
FIR-2024-VIJ-0084,AC0016,Union,XX4945,P0191,True
FIR-2024-BAL-0086,AC0049,Union,XX9221,P0038,True
FIR-2024-BAL-0086,AC0053,SBI,XX8673,P0038,True
FIR-2025-CHI-0087,AC0053,SBI,XX8673,P0022,True
FIR-2024-BEN-0089,AC0016,Union,XX4945,P0003,True
FIR-2025-BAL-0096,AC0006,Canara,XX5906,P0056,True
FIR-2025-RAI-0098,AC0037,Union,XX6772,P0046,True
FIR-2024-DHA-0101,AC0053,SBI,XX8673,P0062,True
FIR-2024-DHA-0101,AC0051,HDFC,XX8894,P0062,True
FIR-2025-BEL-0102,AC0029,Canara,XX7248,P0024,True
FIR-2024-BAG-0104,AC0007,SBI,XX1753,P0068,True
FIR-2024-SHI-0107,AC0030,Union,XX6881,P0015,True
FIR-2024-SHI-0107,AC0051,HDFC,XX8894,P0015,True
FIR-2024-VIJ-0110,AC0030,Union,XX6881,P0001,True
FIR-2024-BEL-0112,AC0032,HDFC,XX1359,P0070,True
FIR-2025-TUM-0121,AC0051,HDFC,XX8894,P0231,True
FIR-2025-TUM-0121,AC0022,Union,XX3588,P0231,True
FIR-2024-MYS-0128,AC0060,Axis,XX7038,P0031,True
FIR-2024-MYS-0128,AC0021,Axis,XX5712,P0031,True
FIR-2025-KAL-0136,AC0018,Canara,XX8555,P0092,True
FIR-2025-KAL-0136,AC0053,SBI,XX8673,P0092,True
FIR-2024-DAK-0150,AC0011,Canara,XX5000,P0004,True
FIR-2025-MAN-0158,AC0052,HDFC,XX6549,P0212,True
FIR-2025-DAV-0163,AC0030,Union,XX6881,P0024,True
FIR-2025-DAV-0163,AC0017,Axis,XX3344,P0024,True
FIR-2025-DHA-0165,AC0011,Canara,XX5000,P0061,True
FIR-2024-TUM-0167,AC0027,Canara,XX7302,P0247,True
FIR-2025-RAI-0180,AC0009,HDFC,XX6873,P0068,True
FIR-2025-RAI-0180,AC0048,Union,XX6994,P0068,True
