fir_number,person_id,name,role,age,gender,district,is_synthetic
FIR-2025-UDU-0001,P0061,Hrishita Sood,accused,39,male,Raichur,True
FIR-2025-UDU-0001,V00010,Divij Chowdhury,victim,74,male,Udupi,True
FIR-2025-UDU-0001,V00011,Anahi Bhargava,victim,57,male,Udupi,True
FIR-2025-SHI-0002,P0293,Kartik Chokshi,accused,37,male,Raichur,True
FIR-2025-SHI-0002,V00020,Charvi Sehgal,victim,23,male,Shivamogga,True
FIR-2025-SHI-0002,V00021,Diya Sastry,victim,31,male,Shivamogga,True
FIR-2025-KAL-0003,P0124,Dishani Deo,accused,39,female,Ballari,True
FIR-2025-KAL-0003,V00030,Zeeshan Tiwari,victim,18,female,Kalaburagi,True
FIR-2025-KAL-0003,V00031,Anaya Dara,victim,29,female,Kalaburagi,True
FIR-2024-MAN-0004,P0087,Divit Bava,accused,21,male,Hassan,True
FIR-2024-MAN-0004,V00040,Ishita Bora,victim,19,female,Mandya,True
FIR-2024-MAN-0004,V00041,Kanav Ram,victim,33,male,Mandya,True
FIR-2024-VIJ-0005,P0009,Zoya Virk,accused,28,female,Hassan,True
FIR-2024-VIJ-0005,V00050,Darshit Devi,victim,53,male,Vijayapur,True
FIR-2025-KAL-0006,P0015,Taimur Vaidya,accused,23,male,Mandya,True
FIR-2025-KAL-0006,V00060,Shlok Subramaniam,victim,16,female,Kalaburagi,True
FIR-2025-DAK-0007,P0054,Faiyaz Din,accused,60,female,Raichur,True
FIR-2025-DAK-0007,P0042,Siya Master,accused,25,male,Dharwad,True
FIR-2025-DAK-0007,V00070,Aarav Dhaliwal,victim,65,female,Dakshina Kannada,True
FIR-2025-DAK-0007,V00071,Khushi Mann,victim,48,male,Dakshina Kannada,True
FIR-2025-BAL-0008,P0059,Navya Kulkarni,accused,51,female,Belagavi,True
FIR-2025-BAL-0008,V00080,Indrajit Kapoor,victim,46,female,Ballari,True
FIR-2025-BAG-0009,P0120,Hansh Sampath,accused,31,male,Belagavi,True
FIR-2025-BAG-0009,P0144,Inaaya  Badami,accused,38,female,Shivamogga,True
FIR-2025-BAG-0009,V00090,Shray Ganesan,victim,40,female,Bagalkot,True
FIR-2025-BAG-0009,V00091,Amani Dyal,victim,45,female,Bagalkot,True
FIR-2025-RAI-0010,P0053,Tiya Rege,accused,52,male,Kalaburagi,True
FIR-2025-RAI-0010,V00100,Rasha Dar,victim,42,male,Raichur,True
FIR-2025-RAI-0010,V00101,Mehul Varty,victim,36,female,Raichur,True
FIR-2025-KAL-0011,P0012,Ranbir Brahmbhatt,accused,42,male,Mandya,True
FIR-2025-KAL-0011,P0036,Priyansh Bali,accused,49,male,Mysuru,True
FIR-2025-KAL-0011,P0024,Vaibhav Dewan,accused,33,male,Bagalkot,True
FIR-2025-KAL-0011,V00110,Azad Dutt,victim,58,male,Kalaburagi,True
FIR-2025-KAL-0011,V00111,Renee Tak,victim,42,female,Kalaburagi,True
FIR-2024-SHI-0012,P0062,Kismat Edwin,accused,32,male,Bengaluru City,True
FIR-2024-SHI-0012,V00120,Veer Saini,victim,70,female,Shivamogga,True
FIR-2024-SHI-0012,V00121,Bhamini Badami,victim,23,female,Shivamogga,True
FIR-2024-DHA-0013,P0004,Kiara Kakar,accused,23,female,Mysuru,True
